split,geology_type,method,rmse_mean,rmse_median,rmse_std,rmse_count,normalized_rmse_mean,normalized_rmse_median,normalized_rmse_std,normalized_rmse_count,mae_mean,mae_median,mae_std,mae_count,correlation_mean,correlation_median,correlation_std,correlation_count,ssim_mean,ssim_median,ssim_std,ssim_count,gradient_rmse_mean,gradient_rmse_median,gradient_rmse_std,gradient_rmse_count,gradient_correlation_mean,gradient_correlation_median,gradient_correlation_std,gradient_correlation_count,boundary_sharpness_ratio_mean,boundary_sharpness_ratio_median,boundary_sharpness_ratio_std,boundary_sharpness_ratio_count,polarity_accuracy_mean,polarity_accuracy_median,polarity_accuracy_std,polarity_accuracy_count,iou_mean,iou_median,iou_std,iou_count,relative_area_error_mean,relative_area_error_median,relative_area_error_std,relative_area_error_count,normalized_centroid_distance_mean,normalized_centroid_distance_median,normalized_centroid_distance_std,normalized_centroid_distance_count,orientation_error_degrees_mean,orientation_error_degrees_median,orientation_error_degrees_std,orientation_error_degrees_count,multi_interface_mean_distance_pixels_mean,multi_interface_mean_distance_pixels_median,multi_interface_mean_distance_pixels_std,multi_interface_mean_distance_pixels_count,mean_posterior_std_mean,mean_posterior_std_median,mean_posterior_std_std,mean_posterior_std_count,uncertainty_error_spearman_mean,uncertainty_error_spearman_median,uncertainty_error_spearman_std,uncertainty_error_spearman_count
ID,blobs,Equal mixture,0.17192236818373202,0.16382060199975967,0.05012937667453217,20,0.7498060100219152,0.7270006730895192,0.17739398577536825,20,0.10959785804152489,0.10745657980442047,0.03386579274953407,20,0.6364022647170089,0.7137778477284679,0.2677290557253247,20,0.35454494313787205,0.371559760845068,0.15747813006466121,20,0.030478841173971826,0.031350476783089984,0.008870004504677828,20,0.4546253786949036,0.4344911976935442,0.1405076465733095,20,0.8167685419322133,0.6970784597464446,0.4818455190656104,20,0.8446824904958167,0.9181321810203329,0.17949990176610703,20,0.3063709132884425,0.3401054449595491,0.2666719966355173,20,0.5646238716795986,0.4777147724223226,0.3523964877248537,20,0.049992587600530734,0.04092375054506515,0.045879323591076715,15,40.10786300368273,37.942912655297484,29.12206314236976,15,,,,0,0.23582696579396725,0.25554609298706055,0.08532190236934142,20,0.49163360592812505,0.5325464041570387,0.21705359383791528,20
ID,blobs,Oracle conditional,0.18219683617353438,0.180245503783226,0.06989051597025192,20,0.8099216038540193,0.723086217739308,0.3281068795146407,20,0.11249000001698732,0.10053136199712753,0.04835598923156978,20,0.6370295157274757,0.739658145096389,0.2988964497141979,20,0.44055607565005117,0.4412337806386022,0.19595441895885019,20,0.029432297566935106,0.029999436020740566,0.011043050025547757,20,0.6264594715066926,0.6535387510783977,0.20839018175734997,20,0.9357565654277188,0.9347037564670806,0.46053084189298155,20,0.8846481442236106,0.9946236559139785,0.17239359074533442,20,0.38774556382299086,0.375737170279998,0.2469687268152859,20,0.376703598622543,0.2292987725738866,0.34960893710842816,20,0.08889843802177863,0.07031675793505496,0.07417066410843542,17,34.6384743591578,32.32529057889081,18.208666800422574,17,,,,0,0.06048890314996243,0.05600644648075104,0.028702652118255713,20,0.559047587111923,0.5579802552248849,0.18801829815224033,20
ID,blobs,SimPEG L2,0.21925778016448022,0.21207740902900696,0.05443589666468691,20,0.9563386889931254,0.9236833782953973,0.1591918936168241,20,0.14793962240219116,0.14129915833473206,0.04696593870536889,20,0.4430307842139836,0.48776617308154846,0.2016415102608127,20,0.2409339238474189,0.22254735180178623,0.12603121383289342,20,0.029353642988933937,0.02825524578789182,0.00853050879514403,20,0.133980638551485,0.2242060330227625,0.3668633399776109,20,0.35187602668047513,0.25076801743495436,0.3506682257931747,20,0.8298448827854223,0.9100006028090903,0.20019526748887395,20,0.12043470322702714,0.0,0.15372723437636845,20,0.9380380379397412,1.0,0.3709809522149556,20,0.14914276158539297,0.17548480951744258,0.07520233150069768,8,49.09223557469778,41.93574377559091,32.87730239837387,8,,,,0,,,,0,,,,0
ID,blobs,Unconditional,0.19710029140114785,0.19266297668218613,0.051001295629761266,20,0.8762915870615977,0.8633865076935573,0.24515311041517035,20,0.12566639818251132,0.11757954582571983,0.03493286010001878,20,0.5925208319483768,0.6354519900245601,0.22883365254258947,20,0.35070198095952543,0.3624822156971462,0.1620412692859652,20,0.03790420139144965,0.03830953115839614,0.008819847854151972,20,0.4871233133202125,0.5028434323105154,0.12909437822328873,20,1.0868424336323035,1.0329219865851207,0.5521069315272455,20,0.8454171873467505,0.8944749862561847,0.1802278780313782,20,0.35819138702023595,0.3498631072370205,0.17217650968467782,20,0.4476317452621463,0.3675360329444063,0.3254239536123088,20,0.12823745425497798,0.08425608412946464,0.11043509008547729,18,39.004014490168665,41.32247192875904,22.606176525594833,18,,,,0,0.2011245209723711,0.21418195217847824,0.07733759458289761,20,0.5768139063987985,0.6026946454451635,0.18373373905704846,20
ID,dipping_layers,Equal mixture,0.5381862173477808,0.5666309595108032,0.1463829430798142,12,0.914977613283658,0.9518233206273393,0.19658771072199177,12,0.45006470878918964,0.47729797661304474,0.12911921234039073,12,0.27329737428705086,0.1523870091006341,0.3833213028814356,12,0.05730716979808212,0.03944278929735112,0.12192225249393314,12,0.13219171991480316,0.13248576778661442,0.039016011939281676,12,0.035119715878019375,0.024044082568898322,0.064523706537124,12,0.5300902451178845,0.49514710030825876,0.32287749935779647,12,0.6583272415238525,0.5654780008834788,0.204575188607719,12,,,,0,,,,0,,,,0,,,,0,12.513020833333334,10.736979166666666,4.2968629476414995,12,0.31939367453257245,0.313617542386055,0.06435676707697444,12,0.36144371362242866,0.3818931211858265,0.23102430691242082,12
ID,dipping_layers,Oracle conditional,0.5336868713299433,0.5352523326873779,0.1491098237683193,12,0.9024976941225344,0.9288516631822676,0.16616232309667298,12,0.4438541606068611,0.4521523714065552,0.13135834214488384,12,0.3416229455757968,0.3451558744662315,0.2231119205988198,12,0.07290111832806125,0.07890380977405609,0.12198292226547974,12,0.13056697519548605,0.12980422487663046,0.03644680748597827,12,0.05890005762449129,0.059606833392362335,0.07413092378138877,12,0.5345402454314891,0.45067434349354213,0.32951779955976646,12,0.7139386132161006,0.6595789369684869,0.1817678958115125,12,,,,0,,,,0,,,,0,,,,0,12.103298611111112,9.971354166666666,4.802682384398475,12,0.3301655227939288,0.32915376126766205,0.07562807795199288,12,0.4030085013232661,0.37487662530597665,0.15700502421953721,12
ID,dipping_layers,SimPEG L2,0.676961546142896,0.7010230422019958,0.22681738886026304,12,1.1197245394698732,1.1449585509708968,0.19438967254692402,12,0.5540578713019689,0.5849332213401794,0.16698243690268802,12,-0.15689914386380097,-0.2417380016683754,0.22155478169498624,12,0.04411938129617715,0.04850238377220429,0.10126391866159362,12,0.1303585238130716,0.1298951460536648,0.039343358490344864,12,-0.012906209548232727,-0.021698159562612455,0.0454219269411312,12,0.2534305776997912,0.1944095246089742,0.14705866800225992,12,0.6744559654660071,0.600275426085689,0.2073477713336027,12,,,,0,,,,0,,,,0,,,,0,23.422526041666668,23.309895833333332,3.2704224246466556,12,,,,0,,,,0
ID,dipping_layers,Unconditional,0.5517883822321892,0.5801261961460114,0.16218905355490337,12,0.935796775285751,0.9227826407760991,0.22613021073687048,12,0.457965973764658,0.4906182438135147,0.1332428993220255,12,0.3014106267202306,0.2915467025272046,0.35772654780436264,12,0.08480190281713613,0.07391418034166579,0.11337492344447382,12,0.13340095962683418,0.13070837320590234,0.04021815139940269,12,0.08140699538711126,0.04998310662470111,0.10732456183084729,12,0.6321290993180969,0.6132971226107744,0.24213773238593714,12,0.6523717034233297,0.5928792638937372,0.23405087845590467,12,,,,0,,,,0,,,,0,,,,0,12.505208333333334,12.928385416666666,3.907641166417383,12,0.32586516067385674,0.31418175995349884,0.07841646574850716,12,0.38830250035082714,0.4414159700007321,0.25244312348550246,12
ID,dykes,Equal mixture,0.17317951184052688,0.17572025954723358,0.0215823907342062,13,0.9290305205235428,0.8923876824974786,0.08320134874388382,13,0.09358191662109815,0.08827763795852661,0.0204453431031755,13,0.3282963375641414,0.4039138489094401,0.14476608935605714,13,0.3179082755059322,0.29536468198465327,0.09555424076409046,13,0.09054920158940608,0.08395229489663246,0.012763359229013489,13,0.3228093541851177,0.3377798220417076,0.06896408000167285,13,0.4840485566454377,0.49102625095352337,0.10370565027122026,13,0.9249123897816773,0.9785714285714285,0.09206244813881043,13,0.09433964131466463,0.09411764705882353,0.041569225369457875,13,0.7807162295017162,0.8632218844984803,0.24567699511975793,13,0.2930723428395929,0.3253207292113187,0.08237411204570179,12,9.740487341711157,8.067484336915449,9.42707959677426,12,,,,0,0.21458403880779559,0.21862497925758362,0.04640283791953689,13,0.581762560784129,0.6237391053685365,0.15257330804847977,13
ID,dykes,Oracle conditional,0.15261047505415404,0.14982543885707855,0.01842143305050957,13,0.8214996901390594,0.8164273664825364,0.09599338813673222,13,0.06834924708192165,0.06829795241355896,0.010719224378596282,13,0.5140518190203085,0.5400255764833782,0.146857821944832,13,0.5126372697392628,0.5126752205141732,0.05402070104926489,13,0.08606455351466155,0.08072479443914471,0.013585277791086429,13,0.47875222264843637,0.48323682524041756,0.07449593097505246,13,0.5596701341529139,0.5609539700842858,0.09444851756346538,13,0.9510671821738258,1.0,0.10129805896085228,13,0.24815788415003653,0.233983286908078,0.1117789039971385,13,0.5725476289491824,0.584375,0.21362432489601801,13,0.22952711574182527,0.2480135055804933,0.05204217465816498,12,5.658292528940707,5.045855381404479,3.770644653952131,12,,,,0,0.09465399671059388,0.08962684869766235,0.018549037795430694,13,0.9012151337029018,0.9203796812129069,0.0484670195504252,13
