split,method,rmse_mean,rmse_median,rmse_std,rmse_count,normalized_rmse_mean,normalized_rmse_median,normalized_rmse_std,normalized_rmse_count,mae_mean,mae_median,mae_std,mae_count,correlation_mean,correlation_median,correlation_std,correlation_count,ssim_mean,ssim_median,ssim_std,ssim_count,gradient_rmse_mean,gradient_rmse_median,gradient_rmse_std,gradient_rmse_count,gradient_correlation_mean,gradient_correlation_median,gradient_correlation_std,gradient_correlation_count,boundary_sharpness_ratio_mean,boundary_sharpness_ratio_median,boundary_sharpness_ratio_std,boundary_sharpness_ratio_count,polarity_accuracy_mean,polarity_accuracy_median,polarity_accuracy_std,polarity_accuracy_count,iou_mean,iou_median,iou_std,iou_count,relative_area_error_mean,relative_area_error_median,relative_area_error_std,relative_area_error_count,normalized_centroid_distance_mean,normalized_centroid_distance_median,normalized_centroid_distance_std,normalized_centroid_distance_count,orientation_error_degrees_mean,orientation_error_degrees_median,orientation_error_degrees_std,orientation_error_degrees_count,multi_interface_mean_distance_pixels_mean,multi_interface_mean_distance_pixels_median,multi_interface_mean_distance_pixels_std,multi_interface_mean_distance_pixels_count,mean_posterior_std_mean,mean_posterior_std_median,mean_posterior_std_std,mean_posterior_std_count,uncertainty_error_spearman_mean,uncertainty_error_spearman_median,uncertainty_error_spearman_std,uncertainty_error_spearman_count
ID,Equal mixture,0.3334702550619841,0.23006972670555115,0.1920808529414638,100,0.8563807631363146,0.8962886769940555,0.17793316299191403,100,0.25269179221242666,0.1565178707242012,0.18288483909781164,100,0.40362951128193303,0.37146666199865347,0.30388926097904145,100,0.2068103101646097,0.22739372822862292,0.1953788202611766,100,0.0863089294960665,0.08386834078616828,0.04479360235766315,100,0.20207993527307586,0.1699247210564423,0.18972608664928572,100,0.6212416843734602,0.5106520290366898,0.37557811555675463,100,0.8192042569752271,0.9089408099688474,0.19762966504094268,100,0.19520376427715305,0.0926937441643324,0.23887652389739872,52,0.6869064168130754,0.8557488732837228,0.3444167974097353,52,0.13887386581970135,0.08200501345130586,0.12851457677269812,36,28.97928540866619,16.381868512286477,28.179807624050063,36,10.691948784722221,9.846354166666668,3.310846847618449,48,0.2611497120559216,0.2723807841539383,0.09042795792507582,100,0.48539068762894316,0.4932214981497985,0.22230781640644173,100
ID,Oracle conditional,0.3433405365049839,0.26755645871162415,0.19585945719357,100,0.8858811672973234,0.9065437638605305,0.2364936051256249,100,0.2564291901513934,0.18042562156915665,0.19127980732207406,100,0.39827154006686527,0.4371912178875695,0.3476459993184822,100,0.2807823150174255,0.2709369528462183,0.2657181069642259,100,0.08661047514572819,0.08137106865945865,0.044166838866849314,100,0.28154203723674337,0.21322205841010283,0.25384570797613937,100,0.7227845855444965,0.5948816752372938,0.4170773204690728,100,0.805031302394448,0.8899170910040475,0.21919286548847935,100,0.29962573013446214,0.25251287408508616,0.23024862332466886,52,0.5614912468710731,0.4479166666666667,0.4675203640870971,52,0.13194457694318648,0.12432009915001124,0.08377949898559228,46,35.93055165006438,31.222519623967976,28.04095523998499,46,11.503146701388888,11.12890625,4.010341468160597,48,0.21348971970379352,0.12976717948913574,0.1591701416289345,100,0.580543246455587,0.6038857315017501,0.26645403099747567,100
ID,SimPEG L2,0.4085280694067478,0.2832203358411789,0.2518543566389639,100,1.0117827041161367,0.9589960457726943,0.1742967591713087,100,0.3143679627403617,0.2096373811364174,0.2279053367096948,100,0.14299724216564724,0.20162145903057116,0.32296701582988835,100,0.1489045063825782,0.15152032285804323,0.16277793656835596,100,0.08597721434092793,0.08375427456244627,0.04459788931371933,100,0.05394778532396214,0.02539634077813475,0.20504818658897025,100,0.24724086815453106,0.19480110546010815,0.22265379028159688,100,0.8282326284993607,1.0,0.23075526233844965,100,0.08643782493182012,0.0,0.13635602093803767,52,0.9020914407355242,1.0,0.2688804491272664,52,0.23625791721377856,0.27331196505584315,0.10865425853250747,21,31.46896281238866,24.70672861753958,24.984058160383082,21,22.56911892361111,21.587239583333332,4.398034157928548,48,,,,0,,,,0
ID,Unconditional,0.35001748725771903,0.24329891055822372,0.2126636382450533,100,0.8997527191046844,0.8958956754668443,0.2327006587520542,100,0.263364992365241,0.1638830006122589,0.19850127253844246,100,0.38807480157030705,0.4960869343911687,0.3510141165619333,100,0.2258915123861013,0.2577636968319588,0.21648519650343134,100,0.08951897152181092,0.08200314472525543,0.04455406484046222,100,0.24421460813136633,0.21993879385245507,0.20910390332282602,100,0.8145881448017077,0.6734320602886218,0.4393522465464599,100,0.8161005445763289,0.9419904941929151,0.22055881773372543,100,0.2847098750143214,0.29550990989449555,0.1825844994816016,52,0.5947872826683723,0.5271375844063069,0.46875553596989916,52,0.13889357677774064,0.10765056002709648,0.09166437994442075,48,35.27088985357357,29.68227476227733,26.811828022692268,48,11.183648003472221,11.130208333333332,3.7674009258159002,48,0.23595734588801862,0.2183532938361168,0.10070653912836192,100,0.5532185672915823,0.582791994982341,0.2527713888719922,100
OOD,Equal mixture,0.3748550947755575,0.38627010583877563,0.18407573590129073,100,0.8803684643129484,0.9055636155924627,0.14963802415695177,100,0.29377892158925534,0.3242270350456238,0.17703662238314039,100,0.33367212681308045,0.3454141177718977,0.32031595861188716,100,0.14757149134582329,0.12382407971909293,0.1761742804951785,100,0.09953401733164753,0.08968644565497325,0.05325843752058727,100,0.18635162236878514,0.15031252138234766,0.18700765308255884,100,0.5100689958886947,0.4377955542445078,0.29641487488150353,100,0.8089999356074956,0.900497259630864,0.2059833326055355,100,0.21882059748700888,0.13043478260869565,0.24654999372074796,45,0.6811104937823338,0.74609375,0.3041481111380367,45,0.1567015049430415,0.09709094350572098,0.13567894672951614,32,34.87829188095844,34.796472826990936,24.789606406362715,32,10.238920454545454,9.846354166666668,2.775506260644877,55,0.2667038730531931,0.28409750759601593,0.08817429978155249,100,0.43074652957376963,0.43772245836188606,0.21915305112563346,100
OOD,Oracle conditional,0.3751911557465792,0.3981200307607651,0.18853777348974415,100,0.8865787108180697,0.9215092202789903,0.2205520140208356,100,0.29078756395727395,0.3474649339914322,0.1819912428747851,100,0.3453761091849834,0.3401987816983183,0.3684635860853866,100,0.23097607385806868,0.13812504144308346,0.26768018007375527,100,0.09973537162347888,0.09245514258779618,0.05277967433472484,100,0.23168416585808438,0.15406014166215992,0.24157426566199422,100,0.6389538179051428,0.5519686873083576,0.36573904782774264,100,0.7927056327725297,0.8569279029156692,0.21553750898045806,100,0.34059508320382,0.2784090909090909,0.2748671820134264,45,0.45613881931656225,0.2648870636550308,0.41950289021002013,45,0.13885248443093998,0.097705006504565,0.12957136010153367,41,37.583389892886885,31.468674065052078,28.111847722908692,41,10.636410984848483,10.690104166666668,2.9438820010630042,55,0.23854828344658016,0.20957567542791367,0.16770106180896416,100,0.42583089201397895,0.4320228117804136,0.34572549429274657,100
OOD,SimPEG L2,0.4244809379428625,0.3953434079885483,0.21852042753331605,100,0.9876497777186102,0.9502629964173904,0.1621168490274686,100,0.3372091773711145,0.36073167622089386,0.2034388391947626,100,0.16418472952084073,0.16341346189059341,0.2724392505433377,100,0.11367870334195455,0.10483416646443877,0.1595119328507898,100,0.09974430710511582,0.09221351465738226,0.053931665382237794,100,0.026198498622908472,0.024384302337284794,0.17065575662179236,100,0.21974099578326356,0.1599520622629661,0.22535243350788808,100,0.829561830037309,1.0,0.22507955257697287,100,0.07022765803604329,0.0,0.11651308477477587,45,1.0362871127197097,1.0,0.475929806461972,45,0.2684499129681714,0.2767405582439873,0.12413798253009756,17,42.451887029241426,33.460823182442184,30.361973481445062,17,21.645454545454545,21.236979166666668,4.948342742228439,55,,,,0,,,,0
OOD,Unconditional,0.38011528134346007,0.35752594470977783,0.19472044585022655,100,0.9042995128940376,0.895287378611938,0.22884903495791326,100,0.29623948730528354,0.2971370816230774,0.18295990660064476,100,0.3493331594123472,0.3555296285554638,0.33992386089463744,100,0.1836722886927219,0.1545740575092424,0.21090619317464723,100,0.10266769284737538,0.09656693172136128,0.053321306670504096,100,0.19537619886551827,0.14108992785152488,0.1928997101482656,100,0.69934698009348,0.6234110799644411,0.35798450788255104,100,0.802794054549097,0.9383019482895096,0.22206577984412004,100,0.30450640060439765,0.2835314091680815,0.24803095498109284,45,0.46592634950010736,0.3911290322580645,0.41498117966258574,45,0.11753160985297595,0.08231671848012988,0.09772888184341323,41,35.58362566765621,34.59604800559944,26.64759319760677,41,10.68035037878788,10.161458333333334,3.24882929050493,55,0.2702694220840931,0.2664467841386795,0.11009105824878182,100,0.5043974338549273,0.5191220459656508,0.28372835063731894,100
