split,case,geology_type,l2_model_rmse,l2_correlation,l2_data_rmse,unconditional_model_rmse,unconditional_correlation,unconditional_data_rmse,unconditional_uncertainty_error_spearman,unconditional_coverage_68,unconditional_coverage_95,oracle_model_rmse,oracle_correlation,oracle_data_rmse,oracle_uncertainty_error_spearman,oracle_coverage_68,oracle_coverage_95,mixture_model_rmse,mixture_correlation,mixture_data_rmse,mixture_uncertainty_error_spearman,mixture_coverage_68,mixture_coverage_95,l2_runtime_seconds,unconditional_runtime_seconds,oracle_runtime_seconds,mixture_runtime_seconds,unconditional_wins_l2,oracle_wins_l2,mixture_wins_l2,oracle_improves_unconditional,mixture_improves_unconditional,oracle_gain_vs_unconditional,mixture_gain_vs_unconditional,mixture_gain_vs_oracle,unconditional_gain_vs_l2,oracle_gain_vs_l2,mixture_gain_vs_l2,best_method
ID,70,horizontal_layers,0.6156956553459167,0.19865291548181305,0.11123996762061146,0.6771087050437927,-0.14777055354549234,0.11041809361890022,0.5891382392308184,0.170166015625,0.397216796875,0.6395899653434753,0.07348190704923038,0.11512371603211446,0.4553232194793218,0.044189453125,0.4033203125,0.6552861928939819,-0.09848558751673968,0.11575780606224322,0.33914724142497266,0.07958984375,0.399658203125,1.9066920280456543,35.97686743736267,35.94096612930298,35.96880388259888,False,False,False,True,True,0.03751873970031738,0.02182251214981079,-0.015696227550506592,-0.06141304969787598,-0.023894309997558594,-0.039590537548065186,SimPEG L2
ID,71,faulted_layers,0.41180387139320374,0.13121579679064038,0.1922034614665827,0.42879924178123474,0.09934342827768061,0.15726064214487812,0.31516457871350745,0.377685546875,0.7548828125,0.48424673080444336,-0.16361119083858866,0.1664428955162215,-0.24305012895292719,0.443115234375,0.738037109375,0.45484688878059387,0.0009433187789348474,0.16776505784844425,0.3079447372309099,0.402587890625,0.631103515625,1.7925608158111572,35.81763315200806,35.99157929420471,35.96187973022461,False,False,False,False,False,-0.05544748902320862,-0.02604764699935913,0.029399842023849487,-0.016995370388031006,-0.07244285941123962,-0.04304301738739014,SimPEG L2
ID,72,horizontal_layers,0.6367921829223633,0.08578777059983538,0.06271304066495312,0.6461318731307983,0.06751732600763737,0.11801184750326942,0.35593620038583584,0.071044921875,0.211669921875,0.5986174941062927,0.43593185590377,0.09952375097131869,0.8076485290278974,0.038330078125,0.1455078125,0.6633822321891785,-0.04370082938668454,0.12217169452205966,0.5091972572385204,0.119873046875,0.41015625,2.2601561546325684,35.925480365753174,35.859883546829224,35.91652178764343,False,True,False,True,False,0.047514379024505615,-0.017250359058380127,-0.06476473808288574,-0.009339690208435059,0.03817468881607056,-0.026590049266815186,Oracle conditional
ID,73,dipping_layers,0.44303303956985474,0.10920381912496942,0.08523672539158704,0.5096122026443481,-0.07361076770904446,0.13209730503182388,0.5745810800134726,0.413818359375,0.746337890625,0.4299588203430176,0.2134348847301584,0.13601413211356186,0.5776180509291895,0.55712890625,0.86669921875,0.4492318332195282,0.061758882917952417,0.14220141238024464,0.6436830714004015,0.363037109375,0.70751953125,2.2168233394622803,36.00446653366089,35.80910611152649,35.952402114868164,False,True,False,True,True,0.07965338230133057,0.060380369424819946,-0.01927301287651062,-0.06657916307449341,0.013074219226837158,-0.006198793649673462,Oracle conditional
ID,74,horizontal_layers,0.42005786299705505,0.12951272521399165,0.1608236720743746,0.41072550415992737,0.2832860535807703,0.14495950163250404,0.5042942420565246,0.523193359375,0.908203125,0.43328166007995605,0.3545659500069729,0.15854618492686684,0.3330293621269426,0.36474609375,0.580078125,0.43550270795822144,0.18309810646676258,0.1679471040891928,0.48023432415328704,0.341552734375,0.711669921875,1.7311172485351562,35.871521949768066,35.9941623210907,35.95788025856018,True,False,False,False,False,-0.022556155920028687,-0.024777203798294067,-0.002221047878265381,0.009332358837127686,-0.013223797082901001,-0.015444844961166382,Unconditional
ID,75,blobs,0.16601680219173431,0.45201779656784424,0.016640788149800367,0.11524082720279694,0.797606416018032,0.023570721307738053,0.6729204312185298,0.6826171875,0.92138671875,0.11904965341091156,0.7849049277778387,0.0189842929266065,0.7708767681835343,0.34228515625,0.626220703125,0.1378941684961319,0.7689428983563328,0.021554361197922933,0.6185230287005882,0.710205078125,0.995361328125,1.72737717628479,35.913334131240845,35.837650537490845,35.818015336990356,True,True,True,False,False,-0.003808826208114624,-0.02265334129333496,-0.018844515085220337,0.05077597498893738,0.046967148780822754,0.028122633695602417,Unconditional
ID,76,horizontal_layers,0.8447458148002625,-0.6098596583271385,0.46605405840773134,0.5172785520553589,0.24204868507896926,0.3994711589320984,0.22353626600839738,0.216552734375,0.403076171875,0.4815925061702728,0.4314540516691506,0.4325706023033692,0.3141751970472507,0.263916015625,0.63134765625,0.3969484865665436,0.8095361906523745,0.43957404911092934,0.3380966577371405,0.46875,0.7294921875,1.665625810623169,35.88571119308472,35.9496488571167,36.03271508216858,True,True,True,True,True,0.03568604588508606,0.12033006548881531,0.08464401960372925,0.32746726274490356,0.3631533086299896,0.44779732823371887,Equal mixture
ID,77,intrusions,0.13948015868663788,0.3532308347928073,0.06015227218788402,0.21183952689170837,0.22599107682009956,0.06652193354716786,0.7965581901821428,0.277099609375,0.609130859375,0.22411707043647766,0.06846119086364673,0.06807808857266893,0.7704918377738864,0.3505859375,0.93603515625,0.1460329294204712,0.23340324352595546,0.06509017613900775,0.5014267996207993,0.905517578125,0.9638671875,1.7134876251220703,35.99190616607666,35.9615581035614,35.951990842819214,False,False,False,False,True,-0.012277543544769287,0.06580659747123718,0.07808414101600647,-0.0723593682050705,-0.08463691174983978,-0.006552770733833313,SimPEG L2
ID,78,dykes,0.14962823688983917,0.43948566721747406,0.12074424139864395,0.14438332617282867,0.49723498737253213,0.1559992921106315,0.8071468196357428,0.936279296875,0.994873046875,0.13917361199855804,0.5400255764833782,0.16519535059321327,0.9319223378137963,0.893310546875,0.962890625,0.15259858965873718,0.4281363701704073,0.1500636078539361,0.6237391053685365,0.938720703125,0.975341796875,2.334852695465088,36.01374268531799,35.96031665802002,36.1715612411499,True,True,False,True,False,0.00520971417427063,-0.008215263485908508,-0.013424977660179138,0.005244910717010498,0.010454624891281128,-0.0029703527688980103,Oracle conditional
ID,79,dykes,0.18392549455165863,0.40161515681141613,0.13124012511367905,0.16478288173675537,0.5593673481551568,0.21338650993448785,0.7143410217532193,0.932861328125,0.975341796875,0.14982543885707855,0.670349844571937,0.21253249956918147,0.9370698572927815,0.302001953125,0.92724609375,0.18045800924301147,0.43421618522016936,0.20590447507320628,0.2283493162540813,0.829833984375,0.974853515625,2.7511231899261475,36.13506078720093,36.08972144126892,36.142181158065796,True,True,True,True,False,0.014957442879676819,-0.015675127506256104,-0.030632570385932922,0.01914261281490326,0.03410005569458008,0.0034674853086471558,Oracle conditional
