split,method,n,mean_rmse,median_rmse,std_rmse,minimum_rmse,maximum_rmse,best_method_fraction
ID,SimPEG L2,100,0.4085280694067478,0.2832203358411789,0.2518543566389638,0.12797003984451294,1.0943857431411743,0.12
ID,Unconditional,100,0.35001748725771903,0.24329891055822372,0.2126636382450533,0.11524082720279694,0.8674337863922119,0.27
ID,Oracle conditional,100,0.3433405365049839,0.26755645871162415,0.19585945719356998,0.09369973838329315,0.7941383123397827,0.35
ID,Equal mixture,100,0.3334702550619841,0.23006972670555115,0.19208085294146376,0.07116030156612396,0.7035616040229797,0.26
OOD,SimPEG L2,100,0.4244809379428625,0.3953434079885483,0.2185204275333161,0.0869760811328888,1.0285215377807617,0.2
OOD,Unconditional,100,0.38011528134346007,0.35752594470977783,0.19472044585022652,0.1113109365105629,0.8479112386703491,0.19
OOD,Oracle conditional,100,0.3751911557465792,0.3981200307607651,0.18853777348974415,0.07616979628801346,0.8373240232467651,0.33
OOD,Equal mixture,100,0.3748550947755575,0.38627010583877563,0.18407573590129078,0.10095818340778351,0.7451329231262207,0.28
